Labour force characteristics,Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2),Employment (2)
Year,"Total, all industries (14)",Goods-producing sector (15),Agriculture (17) [111-112 1100 1151-1152] ,"Forestry, fishing, mining, quarrying, oil and gas (18,19) [21 113-114 1153 2100] ",Forestry and logging and support activities for forestry [113 1153] ,"Fishing, hunting and trapping [114] ","Mining, quarrying, and oil and gas extraction (18) [21 2100] ",Utilities [22] ,Construction [23] ,Manufacturing [31-33] ,Durables [321 327 331-339] ,Non-durables [311-316 322-326] ,Services-producing sector (16),Wholesale and retail trade [41 44-45] ,Wholesale trade [41] ,Retail trade [44-45] ,Transportation and warehousing [48-49] ,"Finance, insurance, real estate, rental and leasing [52 53] ",Finance and insurance [52] ,Real estate and rental and leasing [53] ,"Professional, scientific and technical services [54] ","Business, building and other support services (12) [55 56] ",Educational services [61] ,Health care and social assistance [62] ,"Information, culture and recreation [51 71] ",Accommodation and food services [72] ,Other services (except public administration) [81] ,Public administration [91] 
2000,5814.9,1569.1,97.3,33.9,8.9,,24.1,45.8,320.1,1072,700.2,371.8,4245.8,879.3,210.9,668.4,273.1,378.8,272.5,106.3,416.9,240.4,364.2,541.6,285.5,340.1,243.8,281.9
2001,5921.3,1566.8,83.7,35.9,9.5,,26.2,50.1,334.9,1062.1,701.2,360.9,4354.6,929.4,225.3,704.1,279.8,389.9,288.9,101,438.7,238.2,353.3,563.3,301.7,333.2,242.7,284.3
2002,6034.2,1601.7,75.6,34.8,8.9,,24.9,52.1,344.6,1094.4,708.9,385.6,4432.5,923.5,224,699.5,279.6,393.7,297.5,96.2,438.3,247.8,366.6,580.1,298.5,360.8,247,296.7
2003,6212.9,1633.9,80.8,30.8,8.1,,22.1,53.8,372.7,1095.9,698.6,397.3,4579.1,939.6,224.7,714.9,290.3,411.1,302.2,108.9,449.3,264.3,376.7,612.6,294.4,366.1,263.7,310.9
2004,6314.3,1646.3,77.1,33.8,12,,21.1,57.2,371.9,1106.3,715.8,390.5,4667.9,962.7,238.5,724.2,300.4,429,317,112,437.4,277.9,391.6,628.8,304.6,368,256.2,311.2
2005,6381,1637.4,93.2,34.9,11.3,,23.3,48.3,398,1063,677.7,385.3,4743.6,992.6,246.6,746,292.9,448,333.6,114.4,435,280.8,426.4,622.6,298.9,365.2,257.5,323.9
2006,6452.3,1587.2,100.1,39,10.7,,27.1,47.8,403.6,996.9,651.6,345.3,4865.1,1012,242.7,769.4,295.4,472.1,346.6,125.5,449.3,290.7,445.6,632.5,317.1,377.2,260.5,312.8
2007,6545.5,1534.1,95.9,35.3,7.8,,26.4,57.4,406.4,939.1,605.5,333.6,5011.4,1017.9,227.8,790.1,301.8,468.5,338.3,130.2,469.9,291.7,463.1,668.4,328.1,403.9,266.9,331.1
2008,6610.3,1502,86.6,36.7,8.2,,28.1,62.8,432.7,883.2,556.3,326.8,5108.3,1017.1,229.3,787.7,320.8,469.1,347.3,121.8,488.8,306.7,473,682.9,311.2,397,285.8,355.9
2009,6432.7,1365,86.4,34.2,8.5,,24.9,56,414.8,773.6,475.6,297.9,5067.7,1006.7,243.3,763.4,317.5,480.3,345.2,135.1,480.1,279.6,450.9,703.1,312,384.4,299,354.1
2010,6537.8,1380.6,83.4,37.8,7.9,,29.1,54.3,441.6,763.5,466.9,296.6,5157.3,1008.5,244.4,764.1,311.3,480.8,344.9,135.9,511.8,290.5,456.4,730,319.7,393.4,297.8,357.1
2011,6658.4,1408.7,90.3,38.5,7.5,,30.2,52.3,454.6,772.9,480.2,292.7,5249.7,1005.7,230.4,775.3,322.6,497.2,353.2,144.1,529.9,295.8,458.8,751.3,334.7,402.5,287.9,363.4
2012,6702.6,1415.3,91.2,34.3,7.7,,25.7,52.3,458.4,779.2,501.6,277.5,5287.3,1006.8,223.1,783.6,312.6,495.7,356.8,138.9,530.3,296.3,465.1,768.8,319.6,431.6,294.8,365.8
2013,6823.4,1397.5,83.8,35.9,6.2,,29.1,51.8,459.1,767,489.5,277.5,5425.9,1019,230.2,788.8,336.3,510.3,375.5,134.9,542.7,327.7,483.3,790.8,311.5,440.6,291.9,371.6
2014,6877.9,1382,81.8,33.2,5.4,,27.4,51.1,467.3,748.6,477,271.6,5495.9,1047,248.9,798.1,329,512.1,380.5,131.6,559.9,334.7,494.6,798.2,316.5,450.3,286.8,366.8
2015,6923.2,1401.4,76.9,43.3,7.5,,34.8,49.4,487.3,744.6,471.7,272.9,5521.7,1042.3,281,761.3,321.3,543.5,388,155.5,579.6,333.4,514.9,812.5,309.5,444.3,276.3,344
2016,6999.6,1418.1,77.7,35.8,6.6,,29,49.5,503.7,751.4,488.6,262.9,5581.4,1033.2,279,754.2,327.2,555.3,409.3,146.1,594.6,326.1,502.8,838.4,318,456.8,276.1,353
