Year,Goods-producing industries,Service-producing industries,Industrial production,Information and communication technology sector,Energy sector,"Agriculture, forestry, fishing and hunting","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information and cultural industries,Finance and insurance,Real estate and rental and leasing,"Professional, scientific and technical services",Management of companies and enterprises,"Administrative and support, waste management and remediation services",Educational services,Health care and social assistance,"Arts, entertainment and recreation",Accommodation and food services,Other services,Public administration
2002,,,,,,1.13,0.63,2.1,5.08,21.72,5.67,5.29,3.95,3.8,,,5.39,,2.73,4.52,5.86,0.98,2.27,2.45,5.12
2003,,,,,,1.01,0.66,2.36,5.18,20.74,5.87,5.54,3.84,3.78,,,5.48,,2.77,4.57,6.1,0.98,2.07,2.48,5.24
2004,,,,,,1.02,0.83,2.23,5.27,19.43,6.03,5.58,3.88,4.12,,,5.44,,2.91,4.64,6.23,1.02,2.08,2.51,5.23
2005,,,,,,0.96,0.87,2.25,5.47,18.26,6.32,5.56,4.08,4.12,,,5.52,,3.03,4.76,6.23,0.96,2.07,2.49,5.39
2006,,,,,,0.88,1.2,2.04,5.74,17.03,6.49,5.55,4.19,4.13,,,5.63,,3.07,4.82,6.33,0.97,2.06,2.53,5.44
2007,26.24,73.76,19.74,5.09,2.38,0.77,1.4,2.06,6.02,15.99,6.24,5.19,3.72,3.7,9.08,12.3,6.22,0.77,3.42,5.51,6.47,0.82,1.81,1.97,6.55
2008,24.54,75.46,17.86,5.17,2.42,0.78,1.28,2.24,6.19,14.05,5.99,5.16,3.83,3.71,9.07,12.47,6.55,0.85,3.4,5.73,6.8,0.87,1.89,2.04,7.08
2009,22.78,77.22,15.99,5.41,2.36,0.77,0.8,2.1,6.3,12.81,5.95,5.13,3.73,3.82,8.53,13.09,6.63,0.85,3.27,6.21,7.29,0.92,1.92,2.11,7.76
2010,23.34,76.66,16.27,5.32,2.32,0.8,1.06,2.06,6.55,12.86,6.32,5.01,3.74,3.81,8.6,12.91,6.55,0.76,3.37,6.06,7.12,0.85,1.86,2,7.71
2011,23.47,76.53,16.32,5.18,2.3,0.96,1.39,2.06,6.46,12.59,6.41,4.82,3.74,3.75,8.82,12.86,6.57,0.73,3.26,6.05,7.11,0.84,1.85,1.95,7.78
2012,23.69,76.31,16.26,5.15,2.48,0.97,1.17,2,6.76,12.79,6.53,4.72,3.76,3.78,8.52,13.02,6.43,0.72,3.31,6.06,7.07,0.83,1.9,1.97,7.68
2013,22.88,77.12,15.72,5.31,2.41,0.88,1.21,1.97,6.61,12.22,6.41,4.81,3.86,3.75,8.84,13.14,6.43,0.74,3.37,6.1,7.08,0.8,1.98,2,7.8
2014,22.98,77.02,15.78,5.24,2.32,0.93,1.19,1.99,6.58,12.29,6.6,4.93,3.94,3.79,9.18,13.12,6.42,0.75,3.28,5.79,7.04,0.79,1.98,1.98,7.42
2015,22.82,77.18,15.44,5.29,2.19,0.93,1.01,1.97,6.76,12.14,6.66,5,3.92,3.8,9.52,13.19,6.48,0.79,3.23,5.6,6.99,0.83,2.01,1.95,7.22
