Industry,2000,2016
Automobile & Light-Duty Motor Vehicle Man.,26808.841,47643.909
Pharmaceutical & Medicine Man.,5962.028,17299.869
Oil & Gas Extraction,13973.615,16704.217
Other Motor Vehicle Parts Man.,13465.742,15133.948
Petroleum Refineries,2331.565,14760.789
Aerospace Product & Parts Man.,9381.011,14138.149
Computer & Peripheral Equipment Man.,14061.675,13445.548
Medical & Control Instruments Man.,8082.304,10242.213
Motor Vehicle Man.,10811.773,9740.751
Gold & Silver Ore Mining,604.434,8952.093
Iron & Steel Mills & Ferro-Alloy Man.,4904.432,8680.898
Other Industrial Machinery Man.,4406.697,8458.123
"Engine, & Power Transmission Equipment Man.",5445.18,8246.645
Broadcasting & Communications Equipment Man.,3762.414,8053.406
Resin & Synthetic Rubber Man.,5549.567,8030.095
Electrical Equipment Man.,4324.37,7139.447
Medical Equipment & Supplies Man.,2595.549,6727.403
Air-Conditioning  Equipment Man.,3992.814,6265.122
Motor Vehicle Transmission & Power Train Parts Man.,7506.383,6048.213
Other Basic Organic Chemical Man.,4445.623,6005.789
Heavy-Duty Truck Man.,3215.669,5860.832
Other Plastic Product Man.,2853.162,5660.32
Construction Machinery Man.,3160.782,5599.424
Telephone Apparatus Man.,3967.104,5495.433
Semiconductor & Man.,19074.863,5257.513
