Year,15-24,25 to 44 years,45 to 64 years,65 years and over
2000,2287.4,7596.1,4667.2,209.3
2001,2320.7,7559.7,4839.1,212.8
2002,2391.2,7556.9,5103.3,239.9
2003,2441.2,7549.9,5396.6,273.1
2004,2455,7553.5,5621.4,285.2
2005,2480.4,7528.9,5805.8,308.4
2006,2543.6,7503.5,6031.1,317.8
2007,2604.2,7530.2,6281,353.9
2008,2621.2,7503.2,6470.6,415.2
2009,2447,7301.8,6539.6,439.2
2010,2438.4,7329,6710.2,486.7
2011,2469.5,7398.9,6826.9,525.8
2012,2440.3,7517.1,6900.3,580.3
2013,2476.7,7611.8,6968.9,633.6
2014,2485.5,7648.9,6985,682.8
2015,2471.6,7726.7,7042.1,706.2
2016,2429.1,7834.6,7069.3,746.9
