Year,Alberta,Saskatchewan,Quebec,Newfoundland and Labrador,New Brunswick,Prince Edward Island,Northwest Territories,Yukon Territory,Nunavut,Nova Scotia,Manitoba,British Columbia,Ontario
2000,43796882946,8219673820,16638757518,1014301817,1794700485,666430814,663984300,-47705540,273435049,-209635855,-1188148343,4679405643,-20079419650
2001,43900625901,6915653363,17063321596,1694704881,2724293397,656448276,767619703,-44987033,220721549,213174770,-768646490,1282133419,-13650497912
2002,36591331967,7136225470,17018045899,3761219763,2548962412,670610837,895322148,-56884538,151058099,204342704,-1772375029,-1467080424,-18256196307
2003,44382118128,6237373304,11778186132,2231133058,2599648079,627992187,1584375787,-70469315,-9096,-338932975,-1069959737,-1935026954,-21096310302
2004,50900416429,8791479842,10984485326,4612795246,2580728501,630305393,1911592111,-80619109,3165180,-566923509,-1127437414,-623918165,-21612257531
2005,60949755560,9336268005,5647280885,5453099289,2723255683,756094228,1686000713,-65533195,668597,-1170598829,-2319246651,279690365,-27784259297
2006,60490027529,9934558505,4381529807,6706287398,2889546663,788533110,1606080077,-46709360,-10072082,-2328005019,-1989145613,-4024524465,-35076789880
2007,63883923016,12817542841,-1316614103,8654960941,3740875066,719492052,1894589114,-73645321,-12080106,-2065927282,-708804687,-6356203867,-38158327233
2008,88793937894,20535277848,-7828775755,10799947095,2076852842,696371074,2324495276,39812402,-8384979,-2693357255,-2264587504,-9428131130,-53554326965
2009,52719097358,14541755593,-6380916832,5988985392,440894746,745845626,1526713648,50545587,-45824160,-2532015800,-2363212689,-10918347814,-59379303854
2010,60096605981,15544701043,-8588540585,5656418213,2000419829,674102838,2069219369,3818353,-77627349,-3744755579,-3476742918,-8126771912,-66894049400
2011,68680142339,20184843024,-11016372807,8489932897,1158277993,692372270,2086748949,44526681,-160983228,-3891957678,-4409370707,-7244829503,-74591172566
2012,68241816659,20689249438,-10822022934,6253759543,1918330107,832588128,1831222690,129310295,-19602792,-2737863420,-7619801950,-10817403496,-74801812260
2013,75377254902,21196220158,-11817943069,7066358144,1037775777,878013542,1587744611,34736844,-36854139,-1627070429,-6441565366,-11076896994,-79898477570
2014,89736611154,23249895203,-3019643144,8705989348,-302052254,1073740378,2085004189,9392506,-133423796,-2480588972,-6810453582,-10145267897,-87407099349
2015,63589160814,22274947043,3534585052,5514933555,1647776260,1250495214,1833985276,34887358,-49517756,-2840279106,-7021418546,-12163449120,-89869158171
2016,54187885675,17421177119,6813039899,2622785042,1419343278,1256688433,1203524145,161734908,10390458,-2824940578,-6245544573,-8346767456,-84341582456
